@relation training

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute class {class_1,class_2,class_3}

@data
-4.329447,0.131406,class_1
-2.152883,0.11424,class_1
-2.705276,0.098779,class_1
-3.392076,1.241876,class_1
-1.829635,1.057761,class_1
-2.63372,1.203364,class_1
-1.481345,1.3325,class_1
-2.031626,1.103459,class_1
-3.28984,0.913175,class_1
8.400321,1.778432,class_3
8.381173,1.875074,class_3
8.298489,2.042183,class_3
8.18064,2.005118,class_3
8.345283,2.04283,class_3
8.075848,1.762685,class_3
8.461266,1.3163,class_3
8.359488,1.178182,class_3
8.257934,1.201384,class_3
8.381002,1.228355,class_3
8.096118,1.168009,class_3
7.581503,1.001683,class_3
8.325464,0.89261,class_3
8.45564,0.989939,class_3
8.010666,0.865744,class_3
8.212915,0.731461,class_3
8.480101,0.844391,class_3
7.452222,0.654871,class_3
7.568743,0.193206,class_3
7.011077,0.241018,class_3
6.787107,0.239251,class_3
6.605226,0.243538,class_3
6.620942,0.249833,class_3
-1.556111,0.226466,class_3
-3.005365,0.181222,class_1
-3.293622,0.264667,class_1
-3.817472,0.230527,class_1
-1.582975,0.305761,class_1
-3.389512,0.287656,class_1
-3.209335,0.227378,class_1
-0.505477,0.083422,class_1
-0.457206,0.082967,class_1
-0.63467,0.091191,class_1
-0.247998,0.097542,class_1
-0.302719,0.096452,class_1
-0.271288,0.087023,class_1
-4.59403,3.635803,class_1
-4.60962,3.635616,class_1
-4.730744,3.674047,class_1
-4.608019,3.706003,class_1
-4.527582,3.69511,class_1
-2.884854,3.320624,class_1
-5.227243,1.890118,class_1
-5.374207,1.834848,class_1
-5.162809,1.783671,class_1
-5.232507,1.784144,class_1
-5.34632,1.81938,class_1
-5.176832,1.788937,class_1
1.363919,0.749436,class_2
0.85047,0.959503,class_2
0.797963,0.736535,class_2
2.645935,0.66722,class_2
0.43136,1.149153,class_2
1.28394,1.645466,class_2
-3.992934,0.224828,class_1
-4.017033,0.233085,class_1
-3.661827,0.278008,class_1
-3.857438,0.08641,class_1
-4.226383,0.093252,class_1
-4.343361,0.08351,class_1
-2.446417,1.375032,class_1
-1.677919,1.203742,class_1
-2.917787,1.38558,class_1
-3.063486,1.389633,class_1
-2.761954,1.41284,class_1
-0.71527,0.903217,class_1
9.729288,3.226363,class_3
9.902236,3.38781,class_3
9.814375,3.435521,class_3
9.730202,3.254383,class_3
9.910891,3.305845,class_3
9.17761,2.563619,class_3
9.894537,4.499045,class_3
10.041777,4.508345,class_3
10.083278,4.554909,class_3
9.874105,4.45746,class_3
9.898186,4.546997,class_3
8.266558,1.69198,class_3
10.049615,3.182948,class_3
9.944172,2.955287,class_3
10.042384,2.924241,class_3
9.606038,2.498781,class_3
10.152039,2.96661,class_3
9.031953,1.774244,class_3
0.943969,0.199718,class_3
1.382493,0.200512,class_3
1.599356,0.195212,class_3
1.46873,0.214019,class_3
1.398926,0.214884,class_3
1.492588,0.209398,class_3
-2.250127,0.157998,class_1
-2.483822,0.162341,class_1
-2.235633,0.160081,class_1
-2.315556,0.147384,class_1
-1.919099,0.151061,class_1
-2.057142,0.136575,class_1
3.678474,0.085032,class_1
3.720358,0.073368,class_1
3.632499,0.077164,class_1
3.570228,0.084553,class_1
1.447693,0.090177,class_1
1.838436,0.084434,class_1
-0.100589,1.371515,class_1
-1.434103,1.662691,class_1
-1.545722,1.679156,class_1
-1.808918,1.665026,class_1
-1.584525,1.79192,class_1
-1.585687,1.859742,class_1
-1.072166,1.478802,class_1
-1.401472,2.70263,class_1
-1.459095,2.83262,class_1
-1.319408,2.97954,class_1
-1.644279,2.567441,class_1
-1.462014,2.713141,class_1
1.24016,0.254293,class_2
1.367217,0.861906,class_2
1.623716,0.757784,class_2
1.339381,0.831951,class_2
2.804982,0.909343,class_2
1.962859,0.867031,class_2
-0.881525,0.147445,class_1
